row_id,tic_id,Disposition,RA,Dec,Epoc,Period,Duration,Transit_Depth,Sectors,SN,Qingress
0,278825952,EB,100.470619,-55.794991,1326.555018,2.390579,4.94276114,904050,1,670.96572,0.50281
1,306736831,J,120.987058,-66.880424,1325.814352,0.454174,2.475320968,10500,1,17.8609,-0.08136
2,79328890,J,319.530884,-51.78575,1325.883982,0.744124,1.972523899,127090,1,41.8925,0.41595
3,309257799,J,124.257448,-63.226048,1331.467468,8.636974,20.22710215,43260,1,10.3011,0.18909
4,149248969,EB,82.525019,-65.661595,1325.509738,0.251788,1.178005265,1060,1,17.25128,-0.06465
5,309254945,J,124.280981,-65.647293,1331.496467,12.910471,13.62416184,49940,1,3.63433,0.17296
6,234307140,J,34.944437,-70.630401,1325.676425,0.293281,2.027721372,286490,1,64.02203,0.44051
7,290047893,J,319.100764,-24.216597,1326.114719,0.278417,1.679455891,42440,1,40.59986,0.41616
8,139148075,J,344.556319,-42.308167,1326.299856,13.535064,3.901346847,3430,1,7.99524,0.18603
9,141944605,J,95.563074,-74.027612,1325.898687,0.629523,7.398204658,24390,1,66.66682,-1.43052
10,302924377,J,34.917997,-61.636028,1325.517763,0.254643,2.408026437,374640,1,85.29201,-0.86427
11,237316265,EB,344.212059,-63.974042,1325.645951,0.376968,1.466465835,1670,1,40.47921,0.48492
12,261644661,J,350.948701,-74.899666,1325.576272,0.167067,1.590170437,197390,1,78.60594,-1.03202
13,394287253,J,31.501365,-81.908777,1325.775649,0.765345,5.91587194,3140,1,53.40938,0.49621
14,273734524,J,340.868294,-79.432093,1325.774794,0.361089,2.129009631,1910,1,29.10232,-0.03166
15,231089993,EB,68.589152,-66.088512,1325.903075,0.473141,2.084621395,1740,1,22.20462,0.32547
16,139935539,EB,327.536862,-53.788508,1325.550393,2.525449,1.516481616,8580,1,14.69791,0.28754
17,278709999,EB,335.194361,-40.061596,1326.045959,0.122689,0.647915701,1800,1,31.27324,-0.16334
18,231240938,J,330.645727,-48.279779,1325.668938,0.30398,1.722691138,317290,1,51.89947,0.43042
19,197959099,J,348.171583,-51.933618,1325.65304,0.503496,2.707277852,20810,1,29.9158,-0.12293
